"bfi_1"	"bfi_2"	"bfi_3"	"bfi_4"	"bfi_5"	"bfi_6"	"bfi_7"	"bfi_8"	"bfi_9"	"bfi_10"	"bfi_11"	"bfi_12"	"bfi_13"	"bfi_14"	"bfi_15"	"bfi_16"	"bfi_17"	"bfi_18"	"bfi_19"	"bfi_20"	"bfi_21"	"bfi_22"	"bfi_23"	"bfi_24"	"bfi_25"	"bfi_26"	"bfi_27"	"bfi_28"	"bfi_29"	"bfi_30"	"bfi_31"	"bfi_32"	"bfi_33"	"bfi_34"	"bfi_35"	"bfi_36"	"bfi_37"	"bfi_38"	"bfi_39"	"bfi_40"	"bfi_41"	"bfi_42"	"bfi_43"	"bfi_44"	"AgainstAbortion"	"AgainstGayMarriage"	"AgainstUniversalHealthcare"	"AgainstTaxingTheRich"	"ConservativeIdeology"	"PoliticalInterest"	"Vote"	"YearOfBirth"	"Gender"	"Race"	"EducationLevel"	"IncomeLevel"	"State"
"disagree strongly "	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"agree strongly"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"disagree strongly "	"agree strongly"	"disagree strongly "	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"disagree strongly "	"agree a little"	"disagree strongly "	"agree strongly"	"disagree strongly "	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"disagree strongly "	"neither agree nor disagree"	"abortion should only be legal in special circumstances."	"strongly oppose"	"gov should provide everyone with health care"	"strongly favor"	"moderate"	"very much interested"	"i voted for barack obama"	1951	"male"	"other"	"some college"	"$20,000 - $24,999"	"new york"
"agree strongly"	"agree a little"	"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"agree a little"	"disagree a little"	"disagree a little"	"agree strongly"	"neither agree nor disagree"	"disagree strongly "	"agree strongly"	"agree a little"	"agree strongly"	"agree a little"	"agree a little"	"neither agree nor disagree"	"agree strongly"	"agree strongly"	"disagree a little"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"agree strongly"	"neither agree nor disagree"	"neither agree nor disagree"	"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"disagree a little"	"neither agree nor disagree"	"agree strongly"	"disagree strongly "	"agree a little"	"agree a little"	"agree strongly"	"abortion should be legal with some restrictions."	"strongly favor"	"companies should be required to provide health insurance"	"strongly favor"	"moderate"	"very much interested"	"i voted for barack obama"	1977	"male"	"white"	"college graduate"	"$50,000 - $59,999"	"colorado"
"agree a little"	"disagree a little"	"agree strongly"	"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"agree a little"	"agree strongly"	"agree a little"	"disagree strongly "	"agree strongly"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"agree a little"	"disagree a little"	"agree strongly"	"agree a little"	"agree a little"	"disagree a little"	"agree a little"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"neither agree nor disagree"	"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"agree a little"	"disagree a little"	"disagree a little"	"abortion should be legal with some restrictions."	"somewhat oppose"	"health insurance should be voluntary"	"strongly oppose"	"conservative"	"very much interested"	"i voted for john mccain"	1976	"female"	"white"	"post-grad"	"$100,000 - $119,999"	"texas"
"agree a little"	"neither agree nor disagree"	"agree a little"	"disagree strongly "	"agree strongly"	"disagree strongly "	"agree a little"	"agree a little"	"agree strongly"	"agree strongly"	"agree strongly"	"disagree a little"	"agree a little"	"disagree a little"	"agree strongly"	"agree strongly"	"agree a little"	"agree strongly"	"disagree strongly "	"agree strongly"	"disagree a little"	"agree a little"	"disagree a little"	"agree strongly"	"agree strongly"	"agree a little"	"agree a little"	"disagree a little"	"agree a little"	"agree strongly"	"disagree a little"	"agree a little"	"disagree a little"	"agree strongly"	"disagree strongly "	"agree a little"	"agree a little"	"disagree a little"	"disagree a little"	"agree a little"	"disagree strongly "	"agree a little"	"agree strongly"	"agree strongly"	"abortion should always be legal."	"strongly favor"	"companies should be required to provide health insurance"	"strongly favor"	"very liberal"	"very much interested"	"i voted for barack obama"	1981	"male"	"white"	"post-grad"	"$120,000 - $149,999"	"connecticut"
"agree a little"	"disagree strongly "	"agree strongly"	"disagree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"neither agree nor disagree"	"agree strongly"	"agree a little"	"agree a little"	"disagree strongly "	"agree strongly"	"disagree strongly "	"agree a little"	"agree a little"	"agree strongly"	"neither agree nor disagree"	"disagree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"agree strongly"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"agree a little"	"disagree a little"	"agree strongly"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree strongly"	"agree a little"	"agree strongly"	"disagree strongly "	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree a little"	"agree strongly"	"agree a little"	"abortion should only be legal in special circumstances."	"strongly oppose"	"companies should be required to provide health insurance"	"somewhat favor"	"conservative"	"somewhat interested"	"i voted for barack obama"	1976	"female"	"black"	"college graduate"	"$40,000 - $49,999"	"florida"
"disagree strongly "	"disagree strongly "	"agree strongly"	"agree strongly"	"disagree a little"	"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"disagree strongly "	"agree strongly"	"disagree strongly "	"agree a little"	"disagree a little"	"agree strongly"	"agree strongly"	"disagree a little"	"disagree a little"	"agree strongly"	"agree strongly"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree strongly"	"agree strongly"	"agree strongly"	"agree a little"	"agree a little"	"disagree a little"	"disagree strongly "	"agree a little"	"disagree a little"	"agree strongly"	"agree a little"	"agree strongly"	"agree a little"	"agree a little"	"abortion should only be legal in special circumstances."	"strongly favor"	"gov should provide everyone with health care"	"strongly favor"	"very liberal"	"very much interested"	"i voted for barack obama"	1964	"male"	"other"	"post-grad"	"$70,000 - $79,999"	"illinois"
"agree a little"	"neither agree nor disagree"	"agree strongly"	"disagree strongly "	"agree a little"	"agree a little"	"agree strongly"	"disagree a little"	"agree strongly"	"agree strongly"	"neither agree nor disagree"	"disagree strongly "	"agree strongly"	"disagree a little"	"neither agree nor disagree"	"agree a little"	"neither agree nor disagree"	"disagree strongly "	"disagree strongly "	"agree strongly"	"agree a little"	"agree strongly"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"neither agree nor disagree"	"disagree a little"	"neither agree nor disagree"	"disagree a little"	"disagree a little"	"neither agree nor disagree"	"agree strongly"	"agree a little"	"agree strongly"	"agree a little"	"agree a little"	"disagree strongly "	"disagree a little"	"disagree a little"	"agree strongly"	"neither agree nor disagree"	"agree a little"	"agree a little"	"disagree a little"	"abortion should only be legal in special circumstances."	"somewhat oppose"	"health insurance should be voluntary"	"strongly oppose"	"very conservative"	"very much interested"	"i voted for john mccain"	1963	"male"	"other"	"some college"	"$80,000 - $99,999"	"oregon"
"agree a little"	"disagree strongly "	"agree strongly"	"disagree strongly "	"agree strongly"	"disagree a little"	"agree strongly"	"disagree strongly "	"agree a little"	"agree strongly"	"agree strongly"	"disagree strongly "	"agree strongly"	"disagree a little"	"agree strongly"	"agree strongly"	"agree strongly"	"agree a little"	"disagree strongly "	"agree strongly"	"disagree a little"	"agree strongly"	"disagree strongly "	"agree strongly"	"agree strongly"	"disagree a little"	"disagree strongly "	"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"agree strongly"	"agree strongly"	"agree a little"	"disagree strongly "	"agree a little"	"disagree strongly "	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"abortion should be illegal. it should never be allowed."	"strongly oppose"	"companies should be required to provide health insurance"	"somewhat oppose"	"very conservative"	"very much interested"	"i voted for john mccain"	1973	"female"	"white"	"some college"	"$25,000 - $29,999"	"washington"
"agree a little"	"agree strongly"	"agree strongly"	"neither agree nor disagree"	"agree a little"	"disagree strongly "	"neither agree nor disagree"	"agree a little"	"disagree a little"	"agree strongly"	"neither agree nor disagree"	"agree a little"	"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"agree a little"	"disagree strongly "	"neither agree nor disagree"	"disagree a little"	"agree a little"	"neither agree nor disagree"	"agree strongly"	"agree strongly"	"agree strongly"	"agree a little"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"abortion should be illegal. it should never be allowed."	"somewhat favor"	"health insurance should be voluntary"	"strongly oppose"	"conservative"	"very much interested"	"i voted for john mccain"	1983	"male"	"white"	"college graduate"	"$20,000 - $24,999"	"florida"
"agree strongly"	"disagree a little"	"agree strongly"	"disagree strongly "	"agree strongly"	"neither agree nor disagree"	"agree strongly"	"disagree strongly "	"disagree a little"	"disagree a little"	"disagree a little"	"disagree strongly "	"agree strongly"	"disagree a little"	"agree strongly"	"agree strongly"	"agree strongly"	"disagree a little"	"disagree strongly "	"agree strongly"	"disagree a little"	"agree strongly"	"disagree strongly "	"agree a little"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"agree strongly"	"disagree strongly "	"agree strongly"	"agree a little"	"agree strongly"	"agree strongly"	"agree strongly"	"disagree a little"	"disagree a little"	"disagree strongly "	"neither agree nor disagree"	"disagree strongly "	"agree strongly"	"agree strongly"	"agree strongly"	"neither agree nor disagree"	"disagree strongly "	"abortion should be legal with some restrictions."	"strongly favor"	"gov should provide everyone with health care"	"strongly oppose"	"very liberal"	"somewhat interested"	"i voted for barack obama"	1949	"female"	"black"	"some college"	"less than $10,000"	"illinois"
"neither agree nor disagree"	"disagree a little"	"agree strongly"	"neither agree nor disagree"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"agree strongly"	"agree a little"	"agree a little"	"agree strongly"	"agree a little"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"disagree a little"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"agree strongly"	"agree a little"	"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"disagree strongly "	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"agree strongly"	"disagree strongly "	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"disagree strongly "	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"disagree strongly "	"abortion should always be legal."	"strongly favor"	"gov should provide everyone with health care"	"strongly favor"	"moderate"	"very much interested"	"i voted for barack obama"	1938	"male"	"white"	"some college"	"$80,000 - $99,999"	"florida"
"agree strongly"	"disagree a little"	"agree strongly"	"disagree strongly "	"agree a little"	"agree strongly"	"agree strongly"	"disagree strongly "	"agree a little"	"agree strongly"	"agree strongly"	"disagree a little"	"agree strongly"	"agree a little"	"agree a little"	"agree strongly"	"agree strongly"	"disagree strongly "	"disagree a little"	"neither agree nor disagree"	"disagree a little"	"agree a little"	"disagree strongly "	"agree strongly"	"agree a little"	"agree strongly"	"disagree a little"	"agree strongly"	"disagree a little"	"neither agree nor disagree"	"disagree strongly "	"agree strongly"	"agree strongly"	"agree a little"	"agree a little"	"agree strongly"	"disagree a little"	"agree strongly"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree strongly"	"disagree a little"	"disagree a little"	"abortion should only be legal in special circumstances."	"strongly oppose"	"health insurance should be voluntary"	"somewhat oppose"	"conservative"	"very much interested"	"i voted for john mccain"	1975	"male"	"white"	"college graduate"	"$40,000 - $49,999"	"kentucky"
"agree strongly"	"agree a little"	"agree a little"	"disagree strongly "	"agree strongly"	"disagree strongly "	"agree a little"	"agree a little"	"neither agree nor disagree"	"agree strongly"	"agree a little"	"agree a little"	"agree strongly"	"agree a little"	"agree a little"	"neither agree nor disagree"	"agree a little"	"agree strongly"	"disagree strongly "	"agree strongly"	"disagree strongly "	"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"disagree a little"	"agree strongly"	"disagree strongly "	"agree a little"	"neither agree nor disagree"	"agree strongly"	"disagree strongly "	"agree strongly"	"agree a little"	"neither agree nor disagree"	"disagree a little"	"agree strongly"	"disagree strongly "	"agree a little"	"agree strongly"	"neither agree nor disagree"	"abortion should be legal with some restrictions."	"strongly favor"	"health insurance should be voluntary"	"strongly oppose"	"moderate"	"very much interested"	"i voted for john mccain"	1976	"male"	"white"	"some college"	"$40,000 - $49,999"	"florida"
"agree a little"	"disagree a little"	"agree strongly"	"disagree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"agree strongly"	"disagree strongly "	"disagree a little"	"agree a little"	"disagree a little"	"disagree a little"	"agree a little"	"neither agree nor disagree"	"agree a little"	"agree strongly"	"agree strongly"	"disagree strongly "	"agree a little"	"disagree a little"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"neither agree nor disagree"	"agree strongly"	"agree a little"	"disagree a little"	"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"agree a little"	"agree a little"	"agree strongly"	"disagree strongly "	"agree strongly"	"abortion should be legal with some restrictions."	"somewhat favor"	"health insurance should be voluntary"	"strongly oppose"	"moderate"	"very much interested"	"i voted for john mccain"	1980	"female"	"white"	"2 year college"	"$100,000 - $119,999"	"virginia"
"agree strongly"	"agree a little"	"agree strongly"	"disagree strongly "	"agree strongly"	"neither agree nor disagree"	"agree strongly"	"agree a little"	"disagree a little"	"agree strongly"	"disagree a little"	"disagree strongly "	"agree strongly"	"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree strongly"	"agree strongly"	"neither agree nor disagree"	"disagree a little"	"disagree strongly "	"agree strongly"	"agree strongly"	"agree strongly"	"agree strongly"	"agree strongly"	"agree strongly"	"agree strongly"	"agree a little"	"agree strongly"	"agree strongly"	"agree a little"	"agree strongly"	"agree a little"	"agree a little"	"agree strongly"	"disagree a little"	"agree a little"	"agree a little"	"agree strongly"	"disagree strongly "	"disagree strongly "	"abortion should be legal with some restrictions."	"somewhat favor"	"gov should provide everyone with health care"	"strongly favor"	"conservative"	"somewhat interested"	"i voted for john mccain"	1954	"female"	"white"	"college graduate"	"$25,000 - $29,999"	"missouri"
"agree strongly"	"agree strongly"	"agree a little"	"agree a little"	"agree strongly"	"disagree strongly "	"agree a little"	"agree strongly"	"disagree strongly "	"neither agree nor disagree"	"agree a little"	"disagree a little"	"agree strongly"	"agree strongly"	"neither agree nor disagree"	"agree strongly"	"agree a little"	"agree strongly"	"agree strongly"	"agree strongly"	"disagree strongly "	"neither agree nor disagree"	"neither agree nor disagree"	"disagree strongly "	"disagree a little"	"neither agree nor disagree"	"disagree strongly "	"disagree strongly "	"agree strongly"	"disagree strongly "	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"disagree strongly "	"disagree strongly "	"agree strongly"	"disagree strongly "	"agree strongly"	"neither agree nor disagree"	"agree a little"	"disagree strongly "	"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"abortion should be legal with some restrictions."	"strongly favor"	"companies should be required to provide health insurance"	"strongly favor"	"liberal"	"somewhat interested"	"i voted for barack obama"	1971	"female"	"white"	"some college"	"$60,000 - $69,999"	"florida"
"agree a little"	"agree a little"	"agree strongly"	"disagree strongly "	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"neither agree nor disagree"	"disagree strongly "	"agree strongly"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"agree a little"	"neither agree nor disagree"	"agree strongly"	"agree strongly"	"agree strongly"	"agree strongly"	"neither agree nor disagree"	"neither agree nor disagree"	"disagree a little"	"agree strongly"	"disagree strongly "	"neither agree nor disagree"	"agree a little"	"agree strongly"	"agree strongly"	"agree strongly"	"neither agree nor disagree"	"neither agree nor disagree"	"disagree strongly "	"agree strongly"	"disagree strongly "	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"disagree strongly "	"neither agree nor disagree"	"abortion should be legal with some restrictions."	"strongly oppose"	"health insurance should be voluntary"	"strongly oppose"	"conservative"	"very much interested"	"i voted for john mccain"	1965	"female"	"hispanic"	"some college"	"$100,000 - $119,999"	"washington"
"agree strongly"	"neither agree nor disagree"	"agree strongly"	"disagree a little"	"neither agree nor disagree"	"disagree a little"	"agree strongly"	"neither agree nor disagree"	"disagree a little"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"agree a little"	"neither agree nor disagree"	"disagree strongly "	"agree a little"	"neither agree nor disagree"	"disagree a little"	"agree a little"	"disagree strongly "	"agree a little"	"neither agree nor disagree"	"agree strongly"	"disagree strongly "	"neither agree nor disagree"	"agree a little"	"agree strongly"	"neither agree nor disagree"	"agree a little"	"agree a little"	"disagree a little"	"agree a little"	"agree strongly"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"disagree a little"	"disagree a little"	"agree a little"	"disagree a little"	"agree a little"	"abortion should be legal with some restrictions."	"strongly favor"	"companies should be required to provide health insurance"	"strongly favor"	"liberal"	"somewhat interested"	"i voted for barack obama"	1960	"female"	"white"	"college graduate"	"$100,000 - $119,999"	"texas"
"agree a little"	"agree a little"	"agree strongly"	"disagree strongly "	"agree a little"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree a little"	"agree strongly"	"agree strongly"	"disagree a little"	"agree strongly"	"agree a little"	"agree a little"	"agree strongly"	"agree strongly"	"disagree a little"	"disagree a little"	"agree a little"	"agree a little"	"agree strongly"	"disagree strongly "	"agree strongly"	"agree a little"	"agree strongly"	"agree a little"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"disagree a little"	"agree a little"	"agree strongly"	"agree strongly"	"disagree a little"	"agree strongly"	"agree a little"	"agree strongly"	"disagree a little"	"agree a little"	"agree a little"	"agree strongly"	"disagree a little"	"agree a little"	"abortion should only be legal in special circumstances."	"somewhat favor"	"health insurance should be voluntary"	"strongly oppose"	"conservative"	"very much interested"	"i voted for john mccain"	1941	"male"	"white"	"some college"	"$100,000 - $119,999"	"georgia"
"neither agree nor disagree"	"disagree strongly "	"agree strongly"	"agree a little"	"agree strongly"	"agree a little"	"agree a little"	"disagree a little"	"agree a little"	"agree strongly"	"neither agree nor disagree"	"disagree strongly "	"agree strongly"	"agree a little"	"agree strongly"	"agree a little"	"agree strongly"	"agree a little"	"disagree strongly "	"disagree a little"	"agree a little"	"agree a little"	"disagree strongly "	"agree strongly"	"agree strongly"	"neither agree nor disagree"	"disagree strongly "	"agree strongly"	"disagree strongly "	"agree strongly"	"agree strongly"	"agree strongly"	"agree strongly"	"agree a little"	"disagree a little"	"disagree a little"	"disagree strongly "	"agree a little"	"disagree strongly "	"agree strongly"	"disagree strongly "	"agree strongly"	"agree a little"	"neither agree nor disagree"	"abortion should be legal with some restrictions."	"strongly favor"	"gov should provide everyone with health care"	"strongly oppose"	"moderate"	"very much interested"	"i voted for barack obama"	1955	"female"	"white"	"college graduate"	"$150,000 or more"	"alabama"
"agree a little"	"disagree strongly "	"agree strongly"	"agree strongly"	"neither agree nor disagree"	"agree a little"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree a little"	"agree strongly"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree a little"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree a little"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"agree a little"	"neither agree nor disagree"	"agree a little"	"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"neither agree nor disagree"	"disagree a little"	"neither agree nor disagree"	"abortion should only be legal in special circumstances."	"strongly oppose"	"health insurance should be voluntary"	"somewhat oppose"	"very conservative"	"very much interested"	"i voted for john mccain"	1956	"male"	"white"	"some college"	"$100,000 - $119,999"	"new hampshire"
"agree strongly"	"neither agree nor disagree"	"agree strongly"	"disagree a little"	"agree a little"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"neither agree nor disagree"	"agree a little"	"agree a little"	"disagree strongly "	"agree strongly"	"agree a little"	"agree a little"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"disagree a little"	"agree a little"	"disagree strongly "	"agree strongly"	"agree a little"	"agree a little"	"disagree a little"	"agree strongly"	"neither agree nor disagree"	"agree strongly"	"disagree a little"	"agree strongly"	"agree strongly"	"agree a little"	"agree strongly"	"agree strongly"	"disagree a little"	"agree strongly"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"agree a little"	"disagree a little"	"neither agree nor disagree"	"abortion should be legal with some restrictions."	"strongly favor"	"gov should provide everyone with health care"	"strongly favor"	"moderate"	"very much interested"	"i voted for barack obama"	1976	"female"	"white"	"high school graduate"	"$30,000 - $39,999"	"mississippi"
"agree a little"	"disagree strongly "	"agree strongly"	"disagree a little"	"agree strongly"	"neither agree nor disagree"	"disagree a little"	"agree a little"	"disagree a little"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"agree strongly"	"neither agree nor disagree"	"agree strongly"	"agree a little"	"agree strongly"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"agree strongly"	"disagree strongly "	"disagree a little"	"agree strongly"	"agree a little"	"disagree strongly "	"agree strongly"	"agree a little"	"agree strongly"	"agree a little"	"agree strongly"	"agree strongly"	"agree strongly"	"disagree strongly "	"agree a little"	"disagree strongly "	"disagree strongly "	"agree a little"	"agree a little"	"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"abortion should be illegal. it should never be allowed."	"strongly oppose"	"companies should be required to provide health insurance"	"somewhat oppose"	"moderate"	"very much interested"	"i didn't make it to the polls"	1947	"female"	"white"	"some college"	"$70,000 - $79,999"	"south dakota"
"neither agree nor disagree"	"disagree strongly "	"agree a little"	"disagree a little"	"agree a little"	"agree strongly"	"agree strongly"	"agree a little"	"agree strongly"	"agree strongly"	"agree a little"	"disagree a little"	"agree strongly"	"neither agree nor disagree"	"agree strongly"	"agree a little"	"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree strongly"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"disagree strongly "	"agree strongly"	"disagree a little"	"agree strongly"	"agree a little"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"agree a little"	"neither agree nor disagree"	"disagree a little"	"agree a little"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"abortion should be legal with some restrictions."	"strongly favor"	"health insurance should be voluntary"	"somewhat favor"	"liberal"	"very much interested"	"i voted for barack obama"	1977	"male"	"white"	"college graduate"	"$30,000 - $39,999"	"florida"
"agree a little"	"disagree a little"	"agree strongly"	"agree a little"	"agree strongly"	"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"agree strongly"	"agree a little"	"disagree a little"	"agree strongly"	"agree a little"	"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"agree a little"	"disagree a little"	"agree a little"	"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"agree a little"	"abortion should only be legal in special circumstances."	"somewhat oppose"	"health insurance should be voluntary"	"strongly oppose"	"conservative"	"very much interested"	"i voted for john mccain"	1960	"male"	"white"	"college graduate"	"$100,000 - $119,999"	"ohio"
"disagree strongly "	"disagree a little"	"agree strongly"	"agree a little"	"agree a little"	"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"agree strongly"	"neither agree nor disagree"	"disagree strongly "	"agree strongly"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree strongly"	"neither agree nor disagree"	"neither agree nor disagree"	"agree strongly"	"agree strongly"	"neither agree nor disagree"	"neither agree nor disagree"	"agree strongly"	"agree strongly"	"disagree strongly "	"agree a little"	"agree strongly"	"agree a little"	"agree a little"	"agree a little"	"agree strongly"	"agree a little"	"agree strongly"	"disagree strongly "	"disagree strongly "	"disagree strongly "	"agree a little"	"neither agree nor disagree"	"agree strongly"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"agree a little"	"abortion should only be legal in special circumstances."	"somewhat favor"	"companies should be required to provide health insurance"	"strongly oppose"	"conservative"	"very much interested"	"i voted for john mccain"	1958	"male"	"white"	"some college"	"$60,000 - $69,999"	"tennessee"
"agree a little"	"agree a little"	"agree strongly"	"disagree strongly "	"agree strongly"	"neither agree nor disagree"	"agree a little"	"disagree a little"	"disagree a little"	"agree strongly"	"agree a little"	"disagree a little"	"agree strongly"	"neither agree nor disagree"	"agree a little"	"agree a little"	"agree strongly"	"disagree a little"	"disagree a little"	"agree a little"	"neither agree nor disagree"	"agree strongly"	"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"agree strongly"	"neither agree nor disagree"	"disagree a little"	"disagree a little"	"agree a little"	"agree strongly"	"neither agree nor disagree"	"disagree strongly "	"agree strongly"	"neither agree nor disagree"	"agree strongly"	"neither agree nor disagree"	"agree a little"	"neither agree nor disagree"	"agree a little"	"disagree strongly "	"agree a little"	"abortion should be illegal. it should never be allowed."	"strongly oppose"	"health insurance should be voluntary"	"strongly oppose"	"very conservative"	"very much interested"	"i voted for john mccain"	1932	"male"	"white"	"college graduate"	"$100,000 - $119,999"	"louisiana"
"disagree a little"	"disagree a little"	"agree a little"	"disagree a little"	"disagree strongly "	"agree a little"	"agree strongly"	"disagree strongly "	"neither agree nor disagree"	"agree a little"	"neither agree nor disagree"	"disagree a little"	"agree strongly"	"disagree a little"	"neither agree nor disagree"	"disagree a little"	"agree a little"	"disagree strongly "	"agree a little"	"neither agree nor disagree"	"agree a little"	"agree a little"	"disagree strongly "	"neither agree nor disagree"	"disagree a little"	"disagree strongly "	"disagree strongly "	"agree a little"	"agree a little"	"agree a little"	"disagree a little"	"agree a little"	"agree a little"	"agree a little"	"agree a little"	"neither agree nor disagree"	"neither agree nor disagree"	"agree a little"	"agree strongly"	"agree a little"	"neither agree nor disagree"	"agree a little"	"agree a little"	"neither agree nor disagree"	"abortion should be legal with some restrictions."	"strongly favor"	"companies should be required to provide health insurance"	"strongly favor"	"liberal"	"somewhat interested"	"i voted for barack obama"	1977	"female"	"white"	"college graduate"	"$60,000 - $69,999"	"ohio"
